,id,star,comment,sentiment,snlp_result
60,73798971,8,光明 广场 搂 店   不用 等位   好吃   服务   环境   值得 家人 朋友 品尝 ,1,1
63,73798971,10,很棒 同学 生日 请 吃 吃 掉 刀叉 服务员 换 新 团购 热情 招待 超值 晚餐 黑椒 汁 太 辣 点 ,1,1
65,633706,6,牛排 不错     菜品 不错     团购 态度 不太好 ,1,1
66,633706,10,不用 排队 上菜 超级 味道 不错 ,1,1
68,633706,10,环境 口味 不错 经理 特别 热情 很值 ,1,1
70,4739416,8,不错 喔 第二次 味道 一如既往 赞 ,1,1
71,5527472,10,一如既往 满意 ,1,1
72,2501098,8,北京路 天河城 百货 楼 进餐 晚   不用 等位 上菜 速度 味道 服务员 做 挺 总体 不错 ,1,1
74,73798971,8,位置 环境 行 适合 男女朋友 粟米 汤比 罗宋汤 好喝 ,1,1
75,86045,10,两个 人去 食超 说 窝底 香 噶 芝士 材料 新鲜 牛片 口感 一流 棒 ,1,1
76,74582725,10,好好 味 榴莲 控 必选 环境 还好 ,1,1
77,91361393,10,很棒   烤肉 很棒   态度 ,1,1
78,4205874,10,长期 公司 饭堂 不错 超 喜欢 ,1,1
80,633706,2,餐包 上场 发觉 堕入 陷阱 之感 一道道 菜 上场 证明 想法 吃 完 女朋友 发脾气 关系 间接 关系 想 男女朋友   建议 别去了   唯一 亮点 牛扒 鸡 扒 意面 用生面   小弟 第一次 台湾 特色   反正 吃 完 膝盖 疼想 跪 服务员 真的 真的 惊悚 ,0,1
81,73798971,6,菜量 挺 足够 不用 排队 位置 好找 服务员 挺 热情服务 牛排 不错 接受 罗宋汤 强烈推荐 玉米汤 ,1,1
83,5638032,10,味道 不错 辣 适合 广东 口味 绿豆沙 好味 羊肉汤 味道 鲜美 ,1,1
84,633706,8,贵 吃 不错 环境 行 ,1,1
85,94809213,4,捷登 广场 新开 继 天河 广州 间 分店 价钱 好贵 味道 听讲 贵 香港 好多 耐时 久 试下 算了 成日 ,0,1
86,107377267,8,两个 很饱 不错 去处 ,1,1
87,5638032,6,光明 广场 环境 不错 等位 别家 久 东西 服务 算 ,1,1
90,5527472,5,菜 出品 不错 服务员 态度 不太好 有待 改进 ,0,1
91,5527472,6,网络 等于 久 ,1,1
92,73798971,7,服务态度 位置 好找 那杯 冻 柠茶 一点 味道 豆腐 不错 ,1,1
95,158754521,8,这家 店 地理位置 好找 店里 气氛 不错 出品 分量 很足 三个 妹子 够吃 服务态度 不错 好评 ,1,1
96,633706,10,位置 好找 11 点 30 分 来到 一看 环境 挺 优雅 服务 一流 团购 待慢 味道 份量 足够 一家 三口 吃得饱 特别 小孩子 甚 喜欢 说 下次 吃 完 休息 一会儿 依依不舍 离开 ,1,1
97,5638032,10,朋友 大吃大喝 地方 平时 吃 多点 面食 挺 ,1,1
99,73798971,8,不错 不错 ,1,1
100,73798971,8,上菜 挺快 味道 周末 多人 环境 稍微 嘈杂 一点 ,1,1
101,633706,9,人餐 价钱 适中   份量 够     地方 找   环境   扒 挺   朋友 不错 ,1,1
103,73798971,10,超级 赞 超级 赞 ,1,1
104,190303711,8,服务 周到 味道 不错 女朋友 满意 还会 ,1,1
105,73798971,8,挺 实惠 分量 足 味道 不错 两个 吃 剩 小吃 甜不辣 换 薯条 喜欢 吃 甜不辣 ,1,1
106,179658375,10,环境 上菜 很快 菜品 口味 不错 椰子 鸡 鲜美 下次 还会 ,1,1
107,107377267,10,味道 环境 不错 ,1,1
108,73798971,6,味道 意粉 好吃 果汁 ,1,1
109,107377267,8,环境优美 ,1,1
110,73798971,7,一个点 黑椒 汁 一个点 蘑菇 汁 黑椒 稍微 辣 吃 辣 推荐 两个 扒 成熟 刚刚 意 面 马马虎虎 饮料 挺 大杯 甜不辣 一点点 辣 吃 辣 挑战 豆腐 两个 喜欢 吃 动 两个 女生 刚刚 ,1,1
112,2501098,8,正   最小 2.5 斤   两个 吃 太饱   味道 不错   小贵   地方   环境 挺不错 ,1,1
113,633706,7,环境 不错 菜 量 足 感觉 不到 台湾 风味 汤 合胃口 ,1,1
114,5638032,8,环境 不错 吃 聊 满意 ,1,1
115,86045,9,味道 刚刚 值得 一去 稍贵 ,1,1
117,164409108,10,广州 天气 渐凉 适合 吃 日式 寿喜锅 ,1,1
121,73798971,7,牛排 还好 想象 中 ,1,1
122,633706,8,扒 味道 不错 ,1,1
123,73798971,10,好吃   划算   牛扒 不错   芒果 沙冰   芒果 味 ,1,1
124,5638032,10,吃   味道 不错   价格 实惠   代金券 算是 打折 ,1,1
125,158754521,10,小菜 味道 酸梅汤 好喝 服务态度 ,1,1
126,5638032,10,本来 想 吃 绿茶 人太多 改 口味 嘻嘻 价格便宜 分量 足 不错 ,1,1
127,157174142,10,米克 小馆   Mykonos   Taverna 拼盘 肉 真的 超级 吃 肉 吃 撑 次 吃 份 芝士 肉酱 薯格 价钱 美丽 环境 不错 服务员 推荐 套餐 ,1,1
128,74582725,10,出品 不错 ,1,1
129,633706,10,第一次 超 喜欢 牛排 环境 价格便宜 ,1,1
130,107377267,8,菜品 不错 味道 两个 吃 超 下次 ,1,1
131,73798971,5,柠檬茶 挺 好喝 浓汤 不错 不合 口味 牛扒 嫩 肉质 服务 周到 环境 不错 赞 柠檬茶 ,0,1
134,158754521,10,两个 真的 吃 撑 好吃 还会 ,1,1
135,73798971,9,不错 分量 牛排 显老 丢 丢 ,1,1
136,164166476,10,味道 不错   强力 推荐   酱 香味   香 辣味 不错 ,1,1
138,5638032,10,,1,1
141,2501098,10,好吃 实惠 上菜 速度 环境 ,1,1
142,633706,8,位置 好找 不用 排队   上菜 挺快   竹叶 茶 好喝   牛排 不错 ,1,1
143,73798971,7,等位 久 味道 不错 好评 ,1,1
145,5638032,8,打算 团购 吃饺子 填肚 算了 点 知点 一份 饺子 牛肉面 好似 未够 加点 葱油饼 红豆饼 哪知 有位 朋友 不吃 牛肉 点 炒 白菜 算一算 团购 价钱 团 一张 卷 点 木耳 好吃 服务员 哥哥 嫌 麻烦 态度 仲问 唔 好吃 下次 还会 吃 酸菜鱼 好似 唔 错 ,1,1
149,5638032,9,菜 份量 挺   炸酱面 真的 挺好吃   鸡翅 建议 ,1,1
150,633706,8,不错 希望 .... ,1,1
152,5638032,10,划算 好吃 团购 值得 ,1,1
155,172239782,7,行   服务态度 挺   量   菜 时间 很长 ,1,1
156,4739416,8,好吃 朋友 介绍 好友 吃 ,1,1
157,5527472,10,环境 不错 美女 服务态度 微辣 吃 超辣 上错 太辣 吃 男朋友 吃 开心 推荐 ,1,1
158,73798971,8,环境 价位 美 味道 不错 尝鲜 ,1,1
159,633706,8,好吃 扒 很大 很嫩 划算 下次 还会 ,1,1
160,4739416,7,分量 算 新鲜 ,1,1
161,2501098,8,好吃 周到 服务 环境 优美 女朋友 喜欢 喜欢 ,1,1
162,5527472,10,实惠 味道 真的 好吃 几次 两个 小贵 三四个 吃 实惠 ,1,1
164,5527472,8,店里 好多 服务员 口味 不错 ,1,1
166,5527472,8,味道 不错 服务 挺 菜式 分量 感觉 多一点 ,1,1
167,633706,10,不错 吃不完 挺 喜欢 吃 下次 ,1,1
168,5527472,8,味道 不错 价格 划算 赞 ,1,1
169,633706,7,不错 刀 行 切个 牛排 费劲 ,1,1
170,2501098,10,味道 满意 值得 推荐 ,1,1
171,633706,10,不错 挺 划算 量 男生 少 女生 ,1,1
172,4739416,8,店铺 装饰 日式 风饭 很大 挺好吃 下次 ,1,1
173,160789530,8,很行 肉 新鲜 ,1,1
174,95652015,7,东西 好吃   猫咪 玩   环境 服务 一流   广州 少有 良心 休闲 去处     老板娘 美女   老板娘 超美 美女   老板娘 笑容 美的 美女   照顾 小猫 工作人员 带来 窝心 感觉   北京路 带上 女朋友 提高 逼格 ,1,1
175,633706,8,服务态度 挺 环境 不错 棒棒 ,1,1
176,5527472,10,味道 不错 服务 到位 团购 张券 还给 16 块 两个 吃 撑 第一次 北京路 天河城 百货 外面 电梯 错楼 五楼 只好 走 百货 发现 好多 只好 坐手 扶梯 服务生 专业 卫生 爱 吃 辣 点 香辣 压力 一点 不辣 ,1,1
177,107377267,10,服务 ,1,1
178,73798971,10,真心 不错   味道 ,1,1
180,172239782,8,好吃 鱼 嫩 入口 鲜滑 可口 沙拉 惊艳 爽脆 可口 ,1,1
182,633706,10,喜欢 女朋友 订 情侣 套餐 温馨 满意 ,1,1
183,4739416,10,超 好吃 超 划算 上餐 速度 很快 ,1,1
184,73798971,10,吃 超赞 家人 吃 五个 买 两张 美团 劵 店 现场 买 鸡 扒 套餐 五个 吃 爸妈 说 好吃 特别 牛排 意粉 粟米 汤 西瓜 沙冰 喜欢 喝 希望 团购 做得久点 还会 吃 值得 推荐 ,1,1
185,107377267,10,环境 ,1,1
186,73798971,10,第二次 吃 物美价廉 牛排 好吃 还会 ,1,1
187,2501098,8,网上 推荐 蓝莓 山药 烤鱼 不错 清江 鱼 很鲜 ,1,1
188,5638032,8,不错 感觉 不错 ,1,1
189,5527472,8,广州 吃 味道 特别 喜欢 期待 下次 团 ,1,1
190,2501098,10,很快 上菜 这是 第二次 ,1,1
191,73798971,10,环境 服务态度 超好 几家 ,1,1
192,5527472,6,不错 量 茶水 米饭 单独 收费 害 同学 结账 跑 好几趟 没拿够 钱 前台 ,1,1
193,107377267,10,超 好吃 肉 蟹 煲 蟹黄 鸡爪 特别 软 糯 很棒 ,1,1
194,106565980,8,味道 不错 口感 挺 喜欢 下次 还会 ,1,1
195,2501098,7,蓝莓 山药 好吃 外 不错 包括 服务 环境 满意 ,1,1
196,633706,8,挺 实惠 服务 挺 热情 味道 差点 ,1,1
197,633706,7,速度 地方 量 很足 总体 还行 ,1,1
198,2501098,10,味道 挺 代金券 便宜 服务员 态度 舒服 还会 推荐 两个 吃 够 ,1,1
199,73798971,7,菜品 味道 不错 菜量 适中 人多 上菜 慢点 服务 一般般 坐 半天 杯水 环境 不错 ,1,1
200,5638032,10,好不好 口味   口味 不错   性价比 高   59 团 ,1,1
202,73798971,8,挺好吃 口感 不错 朋友 吃 ,1,1
204,169458693,10,弟弟 挺不错 ,1,1
205,74582725,3,海鲜 肉类 新鲜   啊啊啊 ,0,1
206,633706,10,东西 不错 挺好吃 两个 妹纸 承认 吃货 量 足 全 我俩 消灭 ,1,1
207,4739416,10,新鲜 价钱 n 次 过黎 ,1,1
208,109403441,10,挺好吃 不错 团购 ,1,1
211,73798971,8,地理位置 北京路 逛街 完 吃 饭 光明 广场 好多 好吃 不贵 他家 牛排 光顾 几次 味道 一如既往 美味可口 牛排 很香口 上次 好吃 豆腐 配汤 一绝 喜欢 口味 吃 甜不辣 粘着 汁 好吃 不厌 每次 不用 排队 服务 不错 上菜 下次 北京路 他家 吃 牛排 赞 ,1,1
212,5527472,8,每次 吃 挺 满意 等位 挺快 ,1,1
215,5527472,10,味道 不错 酱汁 太咸 服务 不错 加油 ,1,1
217,73798971,9,味道 不错 上菜 ,1,1
219,2501098,10,环境 谭 主管 服务 到位 烤鱼 味道 够味 下次 ,1,1
220,633706,8,还行 特别 喜欢 吃 牛扒 咖啡 不错 分量 很足 朋友 吃 两个 吃不完 特别 上菜 过程 10 分钟 一点 值得 赞 ,1,1
221,73798971,10,环境 特别   东西 好吃   分量 足 ,1,1
223,5638032,10,挺 吃 ,1,1
224,158754521,10,好吃 好吃 ,1,1
225,2501098,10,不错 同学 吃 无辣 不欢 湖南 妹子 不错 选择 ,1,1
230,633706,9,上菜 速度 确实 很快 菜 味道 总体 吃不出来   台湾 风味 量 三个 剩 老板 员工 礼貌 店内 生意 火爆   只能 坐在 厨房 旁边   很大 影响 ,1,1
231,2501098,8,吃 推荐 口水鸡 酸酸 辣辣的 每次 菜 吃 等位 时间 长 赞 ,1,1
232,633706,8,分量 很足 味道 广东 总体 不错 ,1,1
235,73798971,8,不错 棒棒 还行 ,1,1
237,73798971,8,态度 好得 没话 讲 牛排 成熟 不错 美味 黑椒 汁 味道 杠杠 果汁 新鲜 水果 压制 加 香料 好久没 喝 果汁 日本式 豆腐 特有 汁 味道 独一 不二 台湾 香不辣 吃 油条 意粉 一般般 下次 想 吃 日式 炸豆腐 ## 台湾 小吃 甜不辣 ## 黑椒 酱汁 ## 英式 沙朗 牛排 意粉 份   粟米 汤 罗宋汤 选 冻 柠茶 杯 ## 美式 西冷 牛排 意粉 份   粟米 汤 罗宋汤 选 冻 柠茶 杯 ## 芒果汁 ,1,1
238,633706,7,牛扒 不错 ,1,1
239,179651967,10,服务 进门 热情 超级 推荐 金针菇 牛肉 赞赞赞 鸡肉 好吃 黑糖 糍耙 吃饱 好吃 好评 ,1,1
240,107377267,8,两次 味道 不错 环境 服务 热情周到 值得 一去   肉蟹 煲 ,1,1
243,633706,9,第二次 团 上菜 很快 两个 女生 吃不完 ,1,1
248,95652015,10,猫咪 可爱       温顺       随便 撸     随便 吸       喜欢 ,1,1
250,633706,8,口味 牛排 意面 挺合 口味 ,1,1
251,164166476,8,凤爪 味道 很错 每次 必点 ,1,1
252,86045,6,小贵 还好 吃饱 ,1,1
253,5527472,10,口味 依旧 喜欢 等位 赞 ,1,1
256,5527472,8,环境 不错 吃 ,1,1
257,73798971,8,性价比 高 环境 离家 远 坐 几站 车 坐车 味道 不错 牛排 小吃 分量 很足 两个 吃不完 不用 坐车 下次 机会 ,1,1
258,633706,10,饭菜 可口 老板 热情 下次 ,1,1
259,5527472,10,可惜 久 记得 上次 团购 吃 舒服 ,1,1
260,158754521,8,好吃 实惠 性价比 高 ,1,1
261,164661961,8,口味 不错 ,1,1
264,73798971,10,环境 不错 服务 味道 还好 ,1,1
265,633706,8,第一次 味道 牛扒 量 很足 ,1,1
267,633706,9,口味 正宗 巴适 ,1,1
268,5638032,6,爱 羊杂 割 售价 变 份量 少 羊肚 羊血 超多 土豆 ,1,1
271,4739416,8,不错 不错 确实 值得 机会 ,1,1
273,158754521,8,行 ,1,1
274,4739416,8,店铺 麻雀虽小 五脏俱全 讲究 口味 ,1,1
279,158754521,8,店内 海洋环境 桌子 海洋 风 服务态度 不错 总体 感觉 挺 ok 喜欢 吃 蟹 煲 来此 一试 喔 ,1,1
284,5638032,7,爸爸妈妈 吃 口味 真的 偏东北 改良 接近 南方人 更好 ,1,1
285,73798971,8,菜式 价格 适中 味道 服务 不怎么样 总体 行 ,1,1
287,73798971,8,团购 双人 餐 实惠 加 量 两个 吃 很饱 牛排 味道 推荐 推荐 推荐   ω ,1,1
288,5527472,7,碰上 立减 10 元 优惠 性价比 挺 高 茶位 元 不算 代金券 坑 味道 一如既往 浓烈 鸡翅 好吃 ,1,1
289,633706,5,牛排 好吃 一点 饮料 口味 ,0,1
291,633706,10,  赞 ,1,1
292,5638032,9,菜色 挺 好吃 上菜 慢 ,1,1
295,633706,10,,1,1
296,633706,10,不错 光顾 牛扒 份量 两个 吃 吃不完 套餐 ,1,1
297,73798971,10,吃 几次 感觉 挺香 ,1,1
300,74582725,8,环境 服务 挺 分量 性价比 冰草 沙拉 特别 酱汁 千岛 酱 辅料 披萨                   烤 饼底 焦 脆脆 接受 算是 榴莲 鱼             失望 总体而言 偏咸 分量 榴莲 味淡 榴莲 菠菜 汁 炒饭 味道 炒饭 偏湿 颜色 菠菜 味 榴莲 味 均匀 尚可 接受 鸡翅                     第一口 感觉 KFC 新奥尔良 第二口 感觉 沃尔玛 烤鸡 肉质 不错 温泉 杂菜       水滚 加菜 加盐 菜 淋甜 结论 吃饭 想 试试 下午茶 吃 甜品 ,1,1
301,179658375,6,服务 挺 味道 不错 评论 字要 凑够 15 ,1,1
302,4739416,10,第二次 分量 依然 很足 试 海底 盖饭 美味 推荐 ,1,1
303,633706,8,不错 ,1,1
304,5527472,7,黄记煌 饿 吃 超级 赞 口味重 下饭 小贵 节假日 挺 ,1,1
305,73798971,7,东西 还好 粉 硬 好吃 服务态度 不错 ,1,1
306,5527472,7,菜式 特别 味道 麻麻 太辣 总休 吾 好吃 太贵 吾 值得 ,1,1
307,5527472,10,服务态度 挺 感觉 味道 好吃 ,1,1
310,73798971,10,味道 不错 上菜 挺快 挺 ,1,1
311,5638032,10,服务 凉拌菜 味道 不错 还会 光顾 ,1,1
314,633706,10,味道 服务 挺 随和 环境 周末 人气 旺 不用 排队 久 感觉 用餐 享受 吃喝 价钱 公道 ,1,1
316,5638032,10,不错 朋友 两个 吃 满意 下次 还来 ,1,1
318,2501098,8,味道 服务周到 比较满意 ,1,1
319,633706,6,没刚 好吃 感觉 越来越 ,1,1
320,73798971,8,性价比 高   味道   出品   试一试 ,1,1
321,5638032,7,好多 吃 喜欢 每次 排队 上菜 很快 ,1,1
322,74582725,8,果泥 正 还点 榴莲 披萨 冰草 柑橘 柠檬汁 两个 人分 吃 ,1,1
325,73798971,8,环境 舒服 口味 极佳 菜色 廿 ,1,1
326,633706,8,价钱 算是 很值 两个 人时 ,1,1
327,633706,10,口味 环境 不错 吃 很饱 满意 ,1,1
328,633706,8,餐厅 环境 不错 上菜 速度 挺快 蔬菜 萨拉 难吃 新鲜 出品 不错 ,1,1
330,73798971,8,评论 十五个 字   挺好吃   环境   服务 人员 少 一点 之外   菜 品种   想 吃     晚上 等位 噢   好像 星期六 日要 加收 10 元   挺 推荐 一家   味道 不错 ,1,1
332,5638032,7,环境 服务 很行 口味 行 ,1,1
333,633706,10,数不清 来过 几次 味道 环境 ,1,1
334,633706,10,第二次 吃 朋友 上菜 挺快 价格 实惠   分量 超足 吃 ,1,1
335,179408908,8,菜品 地方 特色 体验 ,1,1
336,73798971,10,回头客 价格 实惠 性价比 高 位置 好找 ,1,1
337,5527472,7,菜 味道 不错 服务 不太好 OK ,1,1
338,633706,10,挺 分量 足 两个 吃 很饱 星期一 安静 ,1,1
340,86045,10,超赞 味道 一级 棒 吃 ,1,1
342,4739416,8,好好 好好 好好 好好 好好 味道 值得 ,1,1
343,633706,10,环境 口味 不错 服务 ,1,1
344,2501098,6,烤鱼 太咸 盐少放       啊啊啊 啊啊啊 ,1,1
345,2501098,10,口味 重 喜欢 辣 试下 服务 不错 ,1,1
346,73798971,10,光明 广场 朋友 逛街 外 观看 不错 餐厅 吃饭 餐厅 环境 真的 不错 卡座 大气 漂亮 坐 舒服 服务态度 不错 我点 牛扒 罗宋汤 柠檬茶 日式 炸豆腐 薯条 腓力 牛扒 七分 熟 嫩 多汁 份量 十足 罗宋汤 饮 味道 浓香 价格 实惠 大赞 很棒 下次 还会 光顾   日式 炸豆腐   罗宋汤   美式 西冷 牛扒   薯条   澳洲 腓力 牛扒   清新 柠檬茶 ,1,1
347,73798971,5,美团 积分 重要性 美团 积分 抵用 现金 时 这句 话 复制 走到 复印 充 数字 100 字 机会 拿走 100 积分 返回 正题 地方 好找 环境 很棒 符合 口味 ,0,1
348,633706,10,不错 逛 北京路 特地 吃 团 三人餐 点 套餐 分量 足 吃药 服务员 团购 不理 ,1,1
349,5527472,7,小贵 之外 不错 ,1,1
350,73798971,10,分量 足 团购 真的 划算 环境 优雅 约 基友 朋友 闺蜜来 试试 ,1,1
351,67446384,10,吃   薯条 超级 无敌 推荐   百吃 不腻 炒饭   好吃 ,1,1
352,633706,10,不错 帮衬 忘记 拍照 ,1,1
354,73798971,8,环境 优雅 地理位置 好找 服务态度 味道 不错 吃 第三次 下次 还会 光顾 店面 位于 广东省 广州市 越秀区 北京路 光明 广场 三楼 推荐 吃 牛扒 甜不辣 中午 就餐 人数 甜不辣 供应 炸豆腐 真心 不错 蘑菇 汁配 牛扒 ,1,1
355,5638032,8,份量 蛮大 吃不完 还行 ,1,1
356,5638032,7,还行 喜欢 每次 还好 时间 ,1,1
358,5638032,8,菜品 小孩子 吃 开心 ,1,1
359,73798971,7,份量 十足 地方 好找 牛排 口味 喜欢 ,1,1
360,2501098,8,味道 不错 很麻 辣 吃够 胃会 受不了 太 刺激 ,1,1
361,2501098,8,味道 不错 小贵 希望 实惠 ,1,1
362,2501098,5,环境 行 味道 ,0,1
365,86045,8,不错 ,1,1
366,73798971,7,第二次 吃 牛排 一如既往 好评 炸豆腐 点赞 甜不辣 太 油腻 喜欢   汤品 玉米浓汤 好吃 盆友 罗宋汤 好吃 只能 说 口味 饮料 挑 椰奶 冰沙 味道 口感 挺 牛排 端上来 喝完 大半杯 冰沙 店里 音乐 统一 风格 更好 ,1,1
367,5527472,10,总体 不错   12 点 前去     推荐 自选 ,1,1
369,5527472,10,菜品 份量 吃 张 代金 卷 刚刚 人均 80 ,1,1
371,5527472,7,口味 一般般 价格 稍微 贵 点 ,1,1
372,5638032,8,西湖路 家 吃 服务 不错 ,1,1
373,164409108,10,今崎烧 北京路 地铁站 上盖 商场 出品 寿喜 锅 不错 店 一点 门口 几桌 客人 等位 号 10 分钟 ,1,1
374,4205874,8,不错 价格 实惠 25 猪扒 包 奶茶 ,1,1
375,119357852,10,店铺 位置 找到 北京路 广百 百货 楼 店铺 环境 舒服 干净 这家 店 吃 感觉 味道 性价比 高 店员 服务态度 团购 优惠 套餐 烤鸡 配 薯条 好吃 水果 茶 好喝 水果 份量 算足 喜欢 喝 那杯 香滑 老姜 奶茶 团购 券是 收银台 验证 麻烦 先 提前 验证 挺 满意 团购 希望 优惠 团购 ,1,1
376,74582725,10,霸气 甜点 香甜 不错 第二次 交易 环境 不错 地方 好好 稳 ,1,1
378,67446384,7,服务 特别 ,1,1
379,5527472,8,味道 不错   ,1,1
383,73798971,8,上菜 服务 环境 不错 牛扒 想象 中 味道 ,1,1
386,91361393,10,我来 这店 五花肉 肉质 前菜 喜欢 烤肉 边上 芝士 玉米 服务 特别 编号 18 服务员 效率 高 手快 态度 棒棒 哒   刀削 五花肉   海 鲜嫩 豆腐汤 ,1,1
390,73798971,8,不错 环境 味道 不错 挺 ,1,1
391,90908955,8,,1,1
393,633706,8,东西 好多 好吃 赞 业务员 态度 不行 有待 提高 ,1,1
394,86045,8,越菜 不及 大头虾 芝士 火锅 好吃 贵点 点心 食 出品 不错 价钱 便宜 中午 稳 朋友 吃饭 凤爪 17 好淋 辣 微辣 几辣下 接受 红米肠 17 味道 不错 虾 个粉 太依韧 好似 咬极 咬 唔 断 甘 煎 饺 15 虾 红萝卜 沙葛 几好 食 皮薄 馅靓 特色 檬 19.8 越潮 栈 檬 麻麻 味道 实在 大头虾 料 几多 炒 陈川粉 13 有榄菜 有点咸 ok 仲有 青菜 15 文 文位 茶 埋单 116 左 88 折 团购 85 折 食 唔 噻 性价比 高 ,1,1
395,5527472,7,东西 不错 酱 香料 好吃 不错 凉菜 不错 不太能 吃 辣 北京路 天河城 百货 这家 团购 算 前两天 长寿路 家 实惠 整体 算 ,1,1
397,633706,8,服务态度 去过 ,1,1
398,5527472,8,喜欢 吃 黄记煌 焖 锅 不错 不错 ,1,1
401,5527472,7,还好 服务员 偏贵 分量 少 ,1,1
402,4739416,8,第一次 环境 味道 不错 ,1,1
403,5527472,8,价格 跑马场 优惠 总体 不错 ,1,1
405,633706,10,毎 次 忍不住 坐坐 大人 小孩 喜欢 味道 团购 ,1,1
407,95652015,8,我点 148 元 套餐 包含 饭 汤面 两杯 饮料 一盘 小食 一盘 沙拉 一小 盒 猫咪 零食 猫 第二次 找 久 找到 准确 位置 喜欢 猫咪 环境 值得 猫咪 主题 餐厅 ,1,1
408,172239782,10,口味 不错 ,1,1
409,5638032,5,生日 冲着 生日 面去 可惜 光明 广场 店 装 长寿面 黄花 碗装 面 临时 改成 大黑 碗 难看 一点 漂亮 期待 好久 面 遗憾 好喝 山楂 汁 出品 越来越 退步 嘈杂 空调 冷气 吃 临桌 一身 汗 菜味 三人花 100 逃离现场 吃 舒服 ,0,1
412,73798971,10,验证 六点 不用 等位 份量 足 甜不辣 喜欢 饮品 不错 两人 很饱 支持 ,1,1
413,5638032,6,人多 排队 排 久 味道 不怎么样 分量 一如既往 玉米 汁 好吃 ,1,1
