,id,star,comment,sentiment,snlp_result
58,73798971,8,买 两人 套餐 分量 够 味道 吃 不太惯 玉米汤 浓稠 夏天 不太 适合 加 十块钱 吃水果 冰淇淋 挺 ,1,0
61,5638032,6,菜 份量 缩水 ,1,0
62,86045,6,锅底 牛奶 锅底 一碟 丸子 好吃 好像 虾饺 行 ,1,0
64,4739416,8,三文鱼 好吃 还会 吃 不像 摩 食堂 排队 多人 ,1,0
67,633706,7,星期二 竹风 老板 挺 热情 进门 招呼 汤 淡 沙拉 失望 难吃 鸡柳 挺好吃 少 点 牛排 很大 份 味道 不错 团友 说 铁板 不热 端过来 滋滋 声响 端过来 牛排 成熟 放在 铁板 慢慢 吃 太老 ,1,0
69,91361393,6,肉 小贵   买单 走 晚上 想 美团 买单 ,1,0
73,73798971,9,好吃 ,1,0
79,5527472,6,老公 点 牛羊肉 特辣 入味 隔壁 桌点 拉面 现场 拉 服务员 熟练 老断 叧 一点 服务 不太好 没去 吃 不知 份量 另点 好几份 蔬菜 吃不完 服务员 提醒 ,1,0
82,633706,10,这是 第三次   好吃 ,1,0
88,86045,2,穿 花衣服 经理 讲话 大声 礼貌 懂 服务 顾客 懂 转弯 ,0,0
89,2501098,8,分量 很足 三个 饱饱 一点 浪费 ,1,0
93,164166476,3,环境   肉蟹 煲 好吃   咸   味道 ,0,0
94,5638032,6,吃 感觉 赶时间 点错 菜 打包带 回去 催 服务员 爱理不理 不好 下次 还会 ,1,0
98,633706,6,环境 ok     口味 ok       服务 没话说 坐下 干       服务员 水都 没得 喝 团购 待遇 团购 服务 挺 不知 态度 高峰期     五六 桌人 问 团购 内容 说 服 ,1,0
102,172239782,2,菜 新鲜 味道不好 虾 死 牛杂 煲 牛 肺 快餐店 ,0,0
111,5527472,7,第一次 吃 黄记煌 鲶鱼 不错 吃 腻 面条 15 块钱 量 太少 几口 吃 完 环境 不错 服务员 态度 ,1,0
116,2501098,9,东西 份量 挺 味道 服务员 态度 挺 ,1,0
118,107377267,3,上菜 太慢 半个 小时 服务员 态度 回头 按铃 回应 前台 ,0,0
119,2501098,3,味道 一吃 活鱼 吃 烤鱼 现捞 现杀 他家 吃 吃 死 鱼 ,0,0
120,2501098,8,麻辣 香锅 味道 样 起点 用券点 吃不完 三个 人用 两张 券才 划算 喜欢 吃 虾 样都点 虾 香辣虾 ,1,0
132,107377267,10,服务 超级 ,1,0
133,5638032,7,等位 30 分钟 算好 耐 8.5 折 仅限 炒菜 面条 无折 算 服务 还好 ,1,0
137,4739416,9,第一次 地方 很小 东西 还好 肚子 服务员 人性化 ,1,0
139,73798971,10,新店 开张 朋友 吃 感觉 不错 ,1,0
140,2501098,1,吃 肚子痛 不想 说话 咸 菜少 ,0,0
144,73798971,6,十五 字 十五 字 十五 字 十五 字 十五 字 ,1,0
146,5527472,7,份量 少 ,1,0
147,107377267,1,好吃 咸 肉 吃 完 很渴 不好 ,0,0
148,158754521,4,深圳 吃 几次 挺 喜欢 第一次 广州 吃 下午 后坐 半天 没人来 点餐 服务员 说 等会儿 急急忙忙 走 坐 半天 服务员 点餐 没人 来理 生气 找 服务员 笑 说 说 晚班 吃了饭 友好 点餐 感谢 味道 还好 凤爪 煮 挺 软 份量 吃 挺 腻 ,0,0
151,633706,8,下午 点多 不用 排队 服务员 挺 热情 上菜 挺快 ,1,0
153,73798971,10,环境 OK   服务 挺 消费 不高 团购 超 便宜 ,1,0
154,158754521,5,螃蟹 腥 死 汤汁 特别 鲜 鸡爪 嫩 底下 土豆 藕 特别 一块 不切 ,0,0
163,633706,5,上菜 时 服务 差 口味 凑合 ,0,0
165,633706,2,      服务态度     服务员 不到 分钟 走 牛排 好吃 怪怪的 ,0,0
179,74582725,7,团购 98 元 双人 餐 分量 少 出品 精致 吃不饱 ,1,0
181,5527472,4,服务态度 不怎么样 半天 没人管 额 爱答不理 没什么 顾客 ,0,0
201,5638032,1,差差 差 服务员 话 9.99 长寿面 甘细碗 生 曰 99.99 长寿面 变 缩水 ,0,0
203,633706,4,竹风 餐厅 服务员 服务态度 真的 特贴 短头 服务员 男 女 边笑边 食物 喷 口水 真 恶心 食物 还好 选择 酱料 一有 一种 建议 客人 一种 选择 喜欢 蘑菇 汤 好喝 说 嘻嘻 ,0,0
209,5638032,8,黄金 玉米 汁   老醋 花生   荞麦 茶   排队 较久 等候 时间 享受 折扣 ,1,0
210,160789530,8,牛肉 很嫩 好吃   澳洲 谷 饲厚切 沙朗 牛扒   黑椒 牛柳 面   火焰 牛扒   金玉良缘 虾   蔬菜 薯角 沙拉 ,1,0
213,5638032,4,说真的 点 几个 菜 菜 真的 好吃 番茄 牛肉面 酸字 意会 解释 表妹 喜欢 吃 面食 真的 那面 吃不下 感觉 好腻 吃 吃 样 玉米 汁   荞麦 茶   牛肉 刀削面   黄金 玉米 汁 ,0,0
214,73798971,10,份量 足 喜欢 玉米浓汤 ,1,0
216,633706,7,环境 不错 几次 排队 团购 态度 不好 俩 吃 饱饱 ,1,0
218,633706,3,一般般 口味 正宗 ,0,0
222,73798971,3,吃 东圃 店 牛排   体验   关门   光明 广场   这家 生意 太 好了吗   点 成熟 牛排   一半 成熟   一半 成熟   本来 不想 一星   服务员 态度恶劣   说 好像 吃 不熟 牛排 错 ,0,0
226,2501098,8,味道 服务 建议 多出 菜式 几次 吃腻 ,1,0
227,179651967,6,菜 种类 少 过多 选择 服务态度 鸡腿 里 毛 ,1,0
228,633706,7,不太想 第二次 分量 还好 ,1,0
229,633706,8,好吃 ,1,0
233,5638032,7,行 推荐 陈醋 不好 ,1,0
234,2501098,8,味道 不错 两人份 足足 ,1,0
236,73798971,2,加大 牛排 没不加 西冷 牛排 臭味 感觉 新鲜 用餐 环境 不行 ,0,0
241,4739416,4,朋友 约 饭 说 这间 这间 店 网红店 刚到 门口 等位 人流 发现 隔壁 富临 食府 味道 不失 龙虾 拍拍 照发 朋友圈 微博 饭 口感 好吃 东西 味道 还好 团 198 两人 套餐 性价比 一般般 下次 系列 ,0,0
242,73798971,7,吃 ,1,0
244,2501098,8,味道 不错 价格 小贵 ,1,0
245,4739416,10,每次 排队 味道 不错 ,1,0
246,168581594,5,大口 口吃 肉 吃 烤 鱿鱼 好吃 新鲜 ,0,0
247,158754521,2,味道 螃蟹 新鲜 下次 ,0,0
249,2501098,8,一般般 服务 人不多 菜 慢 ,1,0
254,164166476,8,位置 挺 好找 中午 服务员 一壶水 硬是 没理 听见 还好 螃蟹 挺好吃 鸡爪 土豆 冬瓜 玉米 ,1,0
255,4205874,4,一般般     时间 长       配 饮料 ,0,0
262,4205874,8,T 骨 猪扒 包 好吃 份量 太 少 等待时间 长 店面 太小太 窄 ,1,0
263,633706,5,几次 服务 前几次 ,0,0
266,620278,2,服务 太 差 效率 太慢 东西 干净 点 少 态度 差 几十块 钱 钱 垃圾 地方 ,0,0
269,5638032,8,出品 不错 味道 正宗 环境 窄 服务员 不太够 上菜 比较慢 ,1,0
270,633706,7,味道 量少 ,1,0
272,109403441,7,不错 肉 看着 新鲜 感觉 肥肉 吃 腻 ,1,0
275,5638032,1,不行 肉 还好 答应 退掉 ,0,0
276,73798971,8,不错 还会 再团 72 块 周六日 加 十元 补贴 ,1,0
277,5638032,8,上菜 空调 不给力 老板 ,1,0
278,5638032,7,一如既往 好吃 长寿面 好像 缩水 ,1,0
280,74582725,5,二人 餐 两个 吃 榴莲 味不重 吃 榴莲 春卷 好吃 ,0,0
281,5638032,8,地方 好找 不用 排队 上菜 很快 面 做 太 咸 鱼 好像 放盐 服务态度 面帮 取消 帮 点 酱油 喜欢 花卷 五花肉 酱 骨架 酱 骨架 加 一点点 辣 完美 ,1,0
282,4739416,9,每次 吃 三文鱼 盖饭 烤 好吃 蛋 不用 考了 ,1,0
283,633706,2,好吃 东西 满意 地瓜 香芋 丸 ,0,0
286,73798971,10,喜欢 吃 牛排 这家 超级 好吃 超赞   玉米汤 ,1,0
290,86045,7,味道 行 服务员 感觉 ,1,0
293,73798971,7,东西 上菜 慢 中午 没什么 慢 ,1,0
294,5527472,8,菜 味道 个量 少 点 份量 多点 ,1,0
298,4739416,8,想象 中 生气 一份 就够 ,1,0
299,160789530,7,上菜 慢 ,1,0
308,172239782,10,吃 撑 风险 写食 感 店铺 好找 肥妈 怀旧 牛骨 汤 找到 大佛寺 巷子 里 酸菜鱼 俩 人份 份量 吃 鱼腩 鱼肚 莫名 鱼肉 滑度 河鱼 泥土 气息 挺重 吃不出来 感觉 吃得出来 嫌弃 鱼肚 鱼腩 部位 难以 下咽 酸菜 确实 老坛 酸菜 叶子 偏多 加 豆芽 撑起来 酸菜鱼 辣度 达标 鱼肉 入味 程度 感觉 欠缺 一点 米饭 煮 粘烂 柠乐刚 一会 气 走 好喝 柠茶 酸酸甜甜 还行 总体 吃 酸菜鱼 高 算得 满意 评价 口味 原因 在内 反正 价格 太贵 一试 ,1,0
309,158754521,4,好吃 全部都是 鸡爪 好吃 ,0,0
312,86045,8,口味   服务员 冇 人应 点 蟹粉 煲 焦底 越南 春卷 不错 虾 汤酸 点 两个 吃 246 蚊 代金 卷 抵扣 200 元 找 算 超值 第一次 东南亚 菜 感觉 口味 广州 重 上菜 速度 够 冬天 建议 分开 点菜 ,1,0
313,633706,8,订 99 蚊 双人 套餐 牛排 好大 一块 份量 十足 牛排 煎 嫩 上菜 速度 不用 分钟 齐菜 忌廉 汤 味道 稍微 淡 d OK ,1,0
315,73798971,8,地理位置 好找 北京路 这家 牛排 好吃 面 不怎么样 汤 ,1,0
317,633706,8,第二次 团购 西冷 扒 T 骨 扒 食 餐包 上次 细个 佐 一半 问 服务员 话系 放多佐 牛奶 发酵 唔 但系 睇 其他人 食嗝 系 咯 点解 地系 甘 上次 香芋 地瓜 丸 今次 食佐 OK 希望 多人食 忘记 上齐 食品 ,1,0
323,5638032,7,口味 不太 喜欢 服务 还好 好评 ,1,0
324,73798971,1,差评 差评 好吃 几个 吃 回来 拉 两天 肚子 半夜 痛醒 牛肉 疯 牛肉 合格 地方 吃 牛排 拉过 ,0,0
329,5638032,5,他家 面 不错 餐具 卫生 有待 考察 吃 一家 餐具 恶心 ,0,0
331,633706,5,分量 够 上菜 速度 够快 鸡 排比 牛排 好吃 牛排 韧 过头 难吃 系个 沙拉 无吃过 汤 奶味 太 浓 习惯 ,0,0
339,169458693,6,一般般 锅里 汤 好喝 路 难 找 ,1,0
341,633706,5,口味 感觉 扒 很太有 嚼 劲 服务 服务员 耐心 说 句 话 听懂 不耐烦 感觉 父亲节 老人家 听不懂 希望 耐心 一点 环境 算 ,0,0
353,633706,7,服务员 态度 随便 点餐 问 下单 ,1,0
357,73798971,8,罗宋汤 当辣 茄酱 沾 薯条 刚刚 顺带 洗掉 薯条 上近 半寸 厚 盐 嚼 不烂 牛排 煮 透 意粉 更是 精彩 字 ,1,0
363,74582725,8,地方 好找 三五 朋友 聚聚 喝个 下午茶 不错 ,1,0
364,633706,10,男朋友 喜欢 这家 店 吃   好吃 ,1,0
368,633706,3,味道 一般般 很腻 饮料 好喝 ,0,0
370,168581594,8,肉 新鲜 泡菜 小菜 味道 不错 ,1,0
377,73798971,10,好吃 ,1,0
380,633706,7,牛扒 菜 一般般 好吃 ,1,0
381,633706,7,味道 一般般 ,1,0
382,5638032,7,面条 真的 好吃 砂锅 粉条 过年 菜 太腻 ,1,0
384,73798971,7,不错                 服务态度 不好 ,1,0
385,73798971,7,光明 店 吃 感觉 好像 那间 区别 ,1,0
387,73798971,3,环境 好久 上菜 问 牛排 成熟 上菜 时是 全熟 牛排 一点 味道 还好 上菜 催 几次 勉强 菜 ,0,0
388,107377267,2,服务 差 答非所问 味道 ,0,0
389,73798971,8,不错 男友 团购 吃 划算 臭豆腐 特 不错 ,1,0
392,633706,4,请 妈妈 吃饭   上菜 很快   团购 提前 做好   环境 说 真   墙 吃饭   真的 不去 ,0,0
396,73798971,8,ok ,1,0
399,67446384,7,上菜 速度 太慢 下单 小时 ,1,0
400,5638032,7,份量 足 味道 一般般 ,1,0
404,5527472,9,第一次 黄记煌   真心 不错 喔   田园 煲 ,1,0
406,92159107,6,好看 好看 吃 腻 ,1,0
410,5638032,8,味道 不错 吃 毛九 长寿面 ,1,0
411,5527472,6,第一次 吃 挺 越 吃 越辣 吃 几次 感觉 腻 ,1,0
417,4739416,7,习惯 吃生   害怕 ,1,0
419,633706,4,上菜 很快 卖相 不错 分量 挺 味道 真的 好吃 沙拉 汤 面 面包 好吃 牛排 跟芋 丸 服务态度 不好 一句 话 说 问 回答 两个 字 晕死 ,0,0
420,5527472,6,环境优美 吃 太 油腻 太贵 不划算 ,1,0
426,5527472,6,仔话 味道 大头虾 服务 环境 甘咯 ,1,0
428,5527472,4,蟹肉 棒 淀粉 太重 吃 煮熟 ,0,0
429,86045,3,味道 偏咸 服务 很差 环境 嘈杂 ,0,0
432,5527472,8,味道 服务 明明 催 遍 果汁 ,1,0
434,2501098,10,n 次 味道 感觉 鱼 称 吃 ,1,0
435,73798971,7,位置 好找 服务态度 东西 好吃 噢 加 十块 要大分 真的 撑 走 搞笑 我要 一杯 开水 三个 服务员 说 三个 一杯 开水 ,1,0
436,633706,10,好吃       便宜       环境 牛排 ,1,0
437,179658375,6,等位 时间 久 煲仔饭 时间 久 ,1,0
442,633706,10,牛排 不错 好好 ci 下次 再来 哒 ,1,0
444,73798971,8,第几次 回头客 扒 不错 ,1,0
445,73798971,8,下次 还来 ,1,0
448,2501098,8,等位 店家 送 凉菜 水果 喜欢 吃 辣 味道 很合 口味 朋友 点 七个 菜 太多 ,1,0
450,633706,6,整体 团购 服务态度 其他人 ,1,0
451,5527472,5,价格 贵且 份量 少 服务 倒 ,0,0
459,107377267,8,鸡爪 真的 超级 超级 推荐   鸡爪 煲   招牌 肉蟹 煲   米饭 ,1,0
460,4739416,10,美味 口 咸 不错 便宜 早点 不用 排队 七点 ,1,0
462,179658375,10,菜品 不错 食材 新鲜 还会   招牌 原味 椰子 鸡   法式 炸薯条   鲜滑 双 拼盘   金针菇   时蔬 拼盘 ,1,0
470,633706,8,不错 西冷 牛排 太生 牛肉 韧 ,1,0
476,156593954,2,披萨 难吃 贵 ,0,0
477,164166476,2,咋样 入味 份量 少 家 140 吃 ,0,0
483,73798971,7,环境   服务 挺   东西 好像 缩水 ,1,0
487,2501098,8,依旧 人多 服务 疏忽 ,1,0
489,2501098,7,好像 味道 变 换 厨师 ,1,0
490,73798971,7,好吃 来得 太 评论 咯 甜不辣 换 薯条 开心 ,1,0
491,73798971,10,店员 服务态度 东西 挺好吃 餐厅 环境 不错   美式 西冷 牛扒 ,1,0
493,160789530,6,味道 差 点 环境 ,1,0
495,5527472,9,好吃 量少 点 希望 优惠 ,1,0
499,92159107,1,难吃 朋友 吃 想 吐 服务员 说话 屌 ,0,0
501,633706,6,服务 人员 团购 客户 态度 味道 份量 不错 ,1,0
503,2501098,4,鱼太咸 好吃 第一次 不行 郁闷 浪费 ,0,0
504,158754521,7,第一次 点 招牌菜 肉蟹 煲   味道 不错 内容 蟹 年糕 玉米 金针菇 鸡爪 菜   原味 乳酸菌 感觉 饮料 兑水 做 喝 两个 人买 豪华 套餐   价格 便宜   招牌 肉蟹 煲 ,1,0
505,2501098,10,好吃 味道 上菜 速度 ,1,0
508,107377267,2,地址 忽略 地址 永远 找 不到 天河城 百货 围著 天河城 百货 转 小时 找 不到 下雨 没带 伞 天河城 百货 楼 ,0,0
509,5527472,10,总体 还好 五分 第一次 吃 黄记煌 每次 不错 赶脚 貌似 这家 店 新开 服务员 态度 感觉 肉 量 少 配菜 希望 同等 价格 份量 ,1,0
510,633706,10,good ,1,0
512,633706,1,味道 不怎么样 感觉 失望 ,0,0
514,620278,10,美味 ,1,0
515,86045,2,感觉 下次 菜色 不好 价钱 贵 ,0,0
518,73798971,1,吃 牛排 算是 说 难吃 焗 饭 冷 差差 差 ,0,0
522,117225790,2,服务 真心 差 ,0,0
536,160789530,5,说真的 火焰 牛扒 名气 大过 味道 成 一烧 感觉 全熟 ,0,0
537,633706,5,味道 不错 沙拉 好吃 排 东西 吃不完 浪费 ,0,0
538,633706,7,味道 不错 服务 中午 ,1,0
540,2501098,8,七夕 活动 送 吃 每次 排队 ,1,0
541,107377267,8,人多 排队 味道 不错 份量 足   鸡翅 煲   肉蟹 煲   金桔 柠檬汁   牛蛙   螃蟹   仔排 煲   泰国 咖喱 蟹 虾 煲   猪手 煲 ,1,0
548,633706,10,上菜 服务 牛肉 嫩 环境 不错 ,1,0
550,107377267,4,蟹壳 ,0,0
555,107377267,10,好吃 ,1,0
556,5527472,1,吃 多家 黄记煌 这家 感觉 吃 假 ,0,0
560,5638032,8,比较满意 消费 排队 好不容易 拿到 位置 味道 挺 下次 ,1,0
561,178114782,2,抢 两张 美团券 心想 开业 酬宾 肯定 不错 拿位 服务员 告知 时间 会久 一点 想不到 真的 很久很久 一个半 小时 过程 中 服务员 忙 一看 经验 满场 跑 主次 状态 培训 安排 到位 气愤 快到 张空台 最少 服务员 收拾 位置 张空 位置 四个 男人 不用 排队 坐下 一问 店里 老板 What 老板 顾客 优先 差评 搞 朋友 发脾气 眼睁睁 空位 服务员 收拾 问 喝水 旁边 等位 小姐姐 忍不住 说 赶紧 收拾 超无语 主次 分不清 好不容易 点 158 蛙 问 口味 辣 朋友 吃 一点点 喉咙 辣 不行 封喉 点好 米饭 买单 见到 体验 下次 ,0,0
562,5527472,9,黄记煌 东西 越来越 好吃 特别 海鲜 推荐 真的 不错 是因为 太晚 没什么 上菜 速度 特别 婺源 特别 唯一 一点 想 电源 借个 充电 宝 说 上班 牛蛙   鲜虾   墨鱼 仔 ,1,0
563,172239782,2,味道 差 服务 到位 服务员 忘记 做 点 小龙虾 吃 最贵 最脏 难吃 小龙虾 ,0,0
565,633706,9,第二次 购买 ,1,0
569,5527472,7,味道 不错 现煮 气味 四散 全身 味 ,1,0
572,2501098,8,上菜 挺快 桌子 沙漏 店里 沙漏 漏 完 菜 免单 倒 挺 希望 菜久 一点 两个 人团 张券 吃 饱饱 点 蒜 香江 团鱼 刺 真的 好吃 ,1,0
574,156593954,4,上菜 太慢 实在 太慢 ,0,0
578,158754521,10,好吃 量 特别 足 ,1,0
580,2501098,4,麻辣 香锅 太 咸 价格 高 分量 少 ,0,0
582,5638032,7,位置 不难 找 不用 排队 上菜 速度 不快 ,1,0
584,179453956,10,北京路 完 电影 肚子 饥肠辘辘 天气 冷 来份 热辣辣 九节 虾 鸡 锅 最合适 消费 客人 挺 一楼 坐满 工作人员 服务态度 热情 上菜 速度 点 份 九节 虾鸡煲 食材 新鲜 美味 海虾 很大 咬 爽口 弹牙 一只 巴掌 鸡肉 肉质 鲜嫩 多汁 美味   九节 虾鸡煲   生菜 ,1,0
592,2501098,7,味道 服务 过得去 环境 ,1,0
594,633706,8,两个 吃 分量 足   东西 吃 完   感觉 必胜客 划算 ,1,0
595,117225790,10,服务员 态度 ,1,0
596,5527472,8,味道 不错 位置 找 茶位 费 另算 ,1,0
597,73798971,3,牛肉 难吃 胶水 粘 吃 ,0,0
600,5638032,10,份量 送 两个 水蛋 不错 相当于 九折 ,1,0
604,158754521,10,好吃 ,1,0
606,633706,2,真的 东西 现做 新鲜 味道 ,0,0
611,5527472,8,好吃 煮 嫩 贵 配菜 三个 肉类 花 两百多 块 心疼 ,1,0
614,2501098,8,烤鱼 两个 吃 两斤 半起售 太多 ,1,0
615,107377267,3,节假日 补钱 坑 ,0,0
618,5527472,4,感觉 味道 价钱 偏贵 ,0,0
620,633706,7,说 提前 预定 早上 中午 值得 赞 店家 真的 服务态度 特别 服务员 久 人理 说 老板娘 店里 隔壁 桌比 晚去 上菜 位置 坐 好好 说 态度 恶劣 菜品 味道 还算得 总体 感觉 偏淡 意面 小条 ,1,0
622,5638032,5,吃 不惯 味道 一般般 ,0,0
624,179658375,5,前女友 一顿饭 吃 完 分手 太鸡儿 难受 ,0,0
625,5527472,6,,1,0
626,73798971,8,下次 选个 点 位置 坐得 太 靠外面 服务 人员 盯 ,1,0
627,107377267,3,咸 吃不出 第二个 味道 真是太 差劲 语 ,0,0
630,158754521,3,上桌 菜 半热   鸡脚 一大堆   食材 新鲜   下次 ,0,0
631,73798971,6,两个 牛排 西冷 七分 熟 五分 熟 样子 沙朗 七分 熟   全熟   咬 咬 不动 蒜 香 排骨 不错   味道 ,1,0
634,5638032,10,不错 没看 免辣 辣 吃 ,1,0
638,5527472,2,  菜 新鲜   感觉   水晶 锅 好吃 ,0,0
643,633706,2,太 失望 服务员 一点 专业 俩份 排要 成熟 说好 俩 份 黑椒 汁 一份 蘑菇 汁 水果 拼盘 随便 几块 水果 烂 新鲜 两杯 可乐 发现 拿上来 玉米汤 超级 难 喝 怪怪的 味道 ,0,0
646,5527472,6,两个 吃 俩 张卷 补 现金 好贵 ,1,0
649,2501098,7,烤鱼 味道 不辣 咸 整锅 美味 烤鱼 给败 咸 挺 满意 ,1,0
653,5527472,10,吃 北京路 这家 第一次 好吃 还会 ,1,0
655,633706,6,,1,0
658,90908955,10,人太多 排队 有限 时 ,1,0
662,4739416,3,垃圾 食品 再来 好吃 ,0,0
665,5527472,3,黄记煌 口味 调料 吃 这家 确实 难 好评 说 蒜 蒜 马铃薯 芹菜 无影无踪 红萝卜 有意思 反正 吃 太 满意 天河 正佳 ,0,0
666,165042533,3,虾 新鲜 发票 说好 开好 发 邮箱 没开 ,0,0
668,169458693,9,味道 不错 鱼 嫩 滑 发 朋友圈 叉烧 大包 送 下次 ,1,0
670,4739416,9,团购 包罗万有 饭 再点 一份 三文鱼 太 饭 分量 挺 刺身 新鲜 ,1,0
681,73798971,5,加收 块 星期六 ,0,0
682,5638032,8,一向 锺 意食 面食 今日 同事 黎食 过开 年饭 就系 隔离 脚 食 咗 成 十日 嘅 大鱼大肉 不约而同 想 食斋 系点 素菜 面食 饺子 点 左 两款 系 白菜 猪肉 饺 同埋 羊肉 饺 羊肉 嘅 苏 味 顶 唔 同事 话 一向 出品 稳定 仲系 值得 食 团购 券 嘅 力度 真系 小气 咗 啲 加大 折扣 豆沙饼   水饺   五彩 疙瘩汤 ,1,0
687,633706,6,菜   服务 不行     不耐烦 ,1,0
694,5638032,7,挺好吃 莜 面上 太慢 ,1,0
696,633706,10,同事 逛街   去过 几次 好评 竹风   两个 女生   剩下 两颗 丸子 吃 完   算是 超 厉害   很撑   吖   好多好多 肉   不用 排队   店里 吖   服务   一点 满意   两个 真的   包包 难放 ,1,0
697,107377267,9,味道 ,1,0
698,2501098,6,味道 服务 中评 ,1,0
702,107377267,2,服务态度 出品 正宗 年糕 几块 酱汁 新鲜 米饭 ,0,0
705,5527472,7,菜 一般般 ,1,0
708,633706,7,这家 位置 偏 天河 百货 七楼 人去 吃 划算 排 分量 很足 排上来 发现 牛扒 血 服务员 加热 不太 满意 第二次 吃 不错 东西 好吃 好像 退步 ,1,0
712,5527472,4,第二次 适合 ,0,0
713,5527472,5,空调 坏 太热 风扇 不愿开 明明 ,0,0
714,633706,9,味道 不错 店里 服务员 谢谢 ,1,0
715,73798971,8,日式 炸豆腐   蘑菇 汁 ,1,0
716,179408908,5,上菜 挺快 太咸 咸 咸 咸 ,0,0
719,86045,3,东西 太咸 太甜 不值 价钱 ,0,0
723,633706,10,消费 不高 服务 ,1,0
728,5638032,6,热 空调 不行 菜式 少 喜欢 吃 做 ,1,0
730,73798971,5,出品 环境 麻麻 哋 服务 差到 不行 ╯ ﹏ ╰ ,0,0
733,73798971,3,牛排 不太 好吃     配菜 味道 怪怪的 环境 ,0,0
734,86045,7,味道 不错 搬 地方 鱼比 点 ,1,0
735,5527472,1,分量 太 少 分量 太 少 味道 差 点 单要 漏 错 想想也是 醉 ,0,0
736,5527472,6,行 时间 久 点 微辣 挺辣 客服 还算行 坐下 半天 喝上 一口 水 ,1,0
738,73798971,6,味道 星期六 日要 加收 10 元 贵 份量 吾 ,1,0
743,156627448,7,好吃 好吃 服务员 冷淡 不理 ,1,0
747,5527472,5,阿迪 没人接 趴 趴熊 pyro 割肉 logo ,0,0
749,633706,7,,1,0
751,86045,8,服务 味道 美团 升价 太 离谱 68 升 78 大众 点评 75 ,1,0
754,2501098,10,很棒 有空 炭炉 好吃 这家 ,1,0
758,2501098,7,逛街 顺便去 吃 第二次 人超 事先 团好 信号 很差 网页 无奈 到处跑 找 信号 终于 团 一条 清江 鱼 骨针 吃 开心 啃到 蓝莓 淮山 好吃 团购 价格 偏贵 ,1,0
759,5527472,5,感觉 一般般 分量 服务态度 有好有坏 ,0,0
767,73798971,3,好吃 东西 便宜 没好 货 ,0,0
770,73798971,10,牛排 加 十块钱 很大 ,1,0
776,169458693,8,份量 十足 吃不完 点 10 分去 等位 吃 鱼 锅 下次 尝试 下钓 吊鱼 ,1,0
779,633706,8,买 越买 越贵 服务态度 超级 ,1,0
787,5638032,6,味道 还行 感觉 油腻 面大 味道 油油的 家 厨房 透明 ,1,0
792,633706,3,真的 难吃   牛排 果盘 还过得去   饮料 面包   太 好吃 ,0,0
793,95652015,10,下午 四点 多到 客人 呦 ,1,0
797,633706,7,环境 咗 两个 扒 ,1,0
798,5527472,7,味道 尚可 但量 少 价钱 平 ,1,0
801,2501098,8,普普通通 辣 通风 ,1,0
802,5527472,8,吃 完 结帐 吃 半个 小时 ,1,0
811,73798971,3,难吃 牛排 好生 七分 熟 差评 ,0,0
812,633706,6,算系 唔 错 噶 贵 d 咯 少人 d ,1,0
